id,normal_1,normal_2,day3_1,day3_2,day3_3,day7_1,day7_2,day7_3,day14_1,day14_2
ENSMUSG00000030498,6012.74,4918.23,2137.97,2373.12,2187.82,1957.46,1566.47,1372.07,717.88,519.35
ENSMUSG00000030102,10890.8,9757.73,9503.17,10541,10013.2,9807.62,10687.6,8683.01,7955.16,7620.48
ENSMUSG00000052776,223.48,164.72,726.531,916.857,774.338,540.029,695.195,877.646,936.405,1195.64
ENSMUSG00000034875,8998.27,6818.64,3444.12,4102.62,3827.15,2114.91,1848.83,1548.9,739.401,543.909
ENSMUSG00000068039,8811.06,7872.85,9171.14,10436.7,9268.7,7644.18,8964.8,8286.12,7206.69,6949.5
ENSMUSG00000022892,2468.42,2203.94,2913.31,3067.5,2908.97,2298.71,2730.13,2363.98,2246.02,2061.53
ENSMUSG00000027239,157.791,156.635,212.411,243.794,226.404,224.517,257.474,279.629,208.68,431.632
ENSMUSG00000001131,7.29621,3.92631,98.8744,63.6968,71.3242,23.6975,34.0648,27.5393,142.734,71.8701
ENSMUSG00000026542,1392.13,1191.47,2133.3,1900.08,3941.89,1307.15,1225.39,1274.61,2017.17,1789.57
ENSMUSG00000025534,3453.58,2783.63,2314.71,2428.86,2403.64,1955.75,2528.45,2773.65,2550.21,2686.41
ENSMUSG00000020277,3508.14,3073.44,3685.36,3670.31,3381.04,2946.42,3423.16,2779.51,3223.82,2737.13
ENSMUSG00000028222,15116.4,12811.4,5024.2,5330.14,4783.11,3015.15,2956.46,2025.85,1222.66,941.061
ENSMUSG00000054422,352.434,270.769,417.234,278.613,179.681,123.924,227.057,147.765,154.056,75.7234
ENSMUSG00000000088,5619.93,4075.57,1994.21,1563.5,1433.89,1000.82,1048.04,490.088,1166.45,662.867
ENSMUSG00000021576,1112.19,1093.55,1148.05,1368.34,1186.62,1171.48,1315.13,1250.34,1159.28,1037.09
ENSMUSG00000025855,65.6309,61.2365,130.67,147.237,124.43,94.398,130.913,127.73,126.024,129.729
ENSMUSG00000055022,64.044,58.2368,181.201,176.946,114.891,154.077,275.875,95.4014,87.8362,125.905
ENSMUSG00000062647,4859.95,4149.35,5687.56,6525.46,5646.17,4530.3,5483.22,5480.86,4398.89,4260.32
ENSMUSG00000026879,2757.93,2642.36,4061.6,4092.16,4232.34,4056.03,5312.39,4703.61,6512.1,6199.78
ENSMUSG00000022105,518.909,432.391,848.198,1004.5,927.97,660.728,774.575,778.913,580.941,616.85
ENSMUSG00000022814,1574.83,1461.52,2194.88,2577.53,2308.13,1815.54,2193.41,2140.35,1806.76,1699.25
ENSMUSG00000037071,206.43,179.396,351.618,172.613,181.542,126.772,172.693,112.511,98.7111,160.447
ENSMUSG00000037405,1555.23,1495.91,3731.17,4614.2,4082.77,3501.82,3900.39,4334.73,3055.47,3139
ENSMUSG00000027556,161.454,508.384,496.362,364.799,701.504,318.378,356.054,381.646,888.782,310.121
ENSMUSG00000023019,19317.7,15622.5,7846.99,7934.87,7839.27,5353.1,5137.56,4101.58,2087.83,1649.72
ENSMUSG00000028962,340.909,320.185,230.529,262.085,232.671,235.108,229.279,212.188,225.96,210.22
ENSMUSG00000004099,2009.11,1856.25,7113.51,7990.3,7342.31,4131.2,4648.04,5017.25,5131.65,4544.98
ENSMUSG00000001025,404.039,527.901,1435.03,1254.8,1029.12,887.396,1086.84,646.215,3133.11,1533.25
ENSMUSG00000026576,19555.4,18353.1,5566.68,6900.35,5942.2,7074.45,5831.09,3814.49,2998.22,2693
ENSMUSG00000036905,107.95,96.6873,437.865,378.343,402.358,416.549,546.995,1007.49,1142.83,1750.29
ENSMUSG00000046364,1147.48,1081.81,1487.49,1565.45,1401.66,1206.22,1378.81,1283.79,1211.11,1066.53
