mirna,day14_1,day14_2,day14_3,day14_4,day3_1,day3_2,day3_3,day3_4,day7_1,day7_2,day7_3,day7_4,normal_1,normal_2,normal_3
mmu-miR-493-5p,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
mmu-miR-494-3p,5,4,12,3,5,0,8,4,5,3,4,0,0,0,0
mmu-miR-495-3p,2,9,11,0,3,10,0,10,0,2,5,0,0,0,0
mmu-miR-496a-3p,3,16,10,4,4,8,9,7,3,4,10,8,0,0,0
mmu-miR-497a-3p,0,0,0,2,5,2,2,2,3,0,2,2,0,0,0
mmu-miR-497a-5p,7861,7298,8709,6517,6051,6215,4349,4194,6912,4091,7371,6725,1715,2266,2130
mmu-miR-499-5p,0,0,0,0,2,5,6,5,5,0,3,0,2,0,2
mmu-miR-500-3p,473,413,398,402,493,514,465,436,490,302,474,352,206,256,285
mmu-miR-500-5p,4,3,7,2,4,6,4,13,0,5,7,3,6,6,3
mmu-miR-501-3p,517,381,848,414,523,616,538,503,544,484,772,436,274,349,239
mmu-miR-501-5p,36,28,30,40,30,43,36,48,45,32,39,31,13,37,29
mmu-miR-503-3p,142,103,124,121,132,145,145,178,161,88,157,112,69,110,79
mmu-miR-503-5p,18,22,28,15,40,31,38,38,25,16,29,15,8,11,6
mmu-miR-504-5p,2,8,3,0,12,5,2,9,2,5,9,7,0,0,0
mmu-miR-505-3p,18,4,12,6,20,24,24,16,22,13,19,18,8,10,4
mmu-miR-505-5p,3,5,12,5,6,7,9,11,21,4,9,10,0,4,4
mmu-miR-5099,1865,1261,1866,1195,2589,2672,2058,2368,2233,1156,1740,2479,688,1328,989
mmu-miR-5100,2,0,0,0,5,0,6,5,2,0,0,0,4,0,2
mmu-miR-5101,22,10,7,12,24,13,21,28,26,13,25,19,5,21,11
mmu-miR-5103,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0
mmu-miR-5104,0,0,3,3,5,2,7,4,0,0,12,2,0,0,0
mmu-miR-5107-3p,31,33,32,21,17,11,11,9,30,18,50,40,0,0,3
mmu-miR-5107-5p,36,28,35,27,29,19,14,24,25,24,51,51,0,0,0
mmu-miR-511-3p,276,194,196,218,148,102,161,133,126,96,171,148,4,10,18
mmu-miR-511-5p,88,59,100,62,27,17,15,22,45,38,60,72,2,3,0
mmu-miR-5113,5,3,14,4,4,14,5,10,6,6,17,9,2,4,13
mmu-miR-5114,7,3,13,3,11,4,9,7,9,9,10,0,4,0,2
mmu-miR-5116,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0
mmu-miR-5121,25,11,17,27,18,22,24,36,18,10,23,9,33,39,45
mmu-miR-5122,104,69,84,86,116,112,99,95,105,55,118,144,26,68,35
mmu-miR-5123,0,0,2,4,2,6,9,10,3,2,8,2,0,2,3
mmu-miR-5126,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
mmu-miR-5128,3,0,2,0,7,6,2,2,5,0,2,3,0,2,0
mmu-miR-5129-3p,24,29,36,21,22,17,16,17,18,11,23,44,9,14,16
mmu-miR-5129-5p,4,6,0,0,2,0,2,0,2,4,0,0,2,0,0
mmu-miR-5130,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
mmu-miR-5132-3p,7,0,2,4,3,2,6,4,4,2,7,4,2,0,0
mmu-miR-5132-5p,2,3,0,2,2,0,0,0,0,0,4,2,0,0,0
mmu-miR-5134-3p,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
mmu-miR-532-3p,502,447,483,459,366,452,478,449,573,318,519,499,185,292,222
mmu-miR-532-5p,6333,5195,6904,5304,5040,5587,5047,5209,5190,3288,5967,5587,2080,2889,2734
mmu-miR-539-5p,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
mmu-miR-540-3p,6,24,50,5,22,25,16,23,8,4,8,12,2,6,0
mmu-miR-540-5p,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
mmu-miR-541-5p,306,774,1139,364,478,490,602,894,344,246,530,364,50,138,115
mmu-miR-542-3p,387,199,230,174,472,416,462,348,311,160,355,249,110,176,229
mmu-miR-542-5p,84,71,100,83,77,109,54,81,122,69,124,130,43,72,56
mmu-miR-543-3p,0,5,3,4,3,6,8,8,0,0,0,0,0,0,3
mmu-miR-543-5p,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0
mmu-miR-547-3p,14,12,23,21,4,5,8,11,12,7,14,9,0,7,2
mmu-miR-547-5p,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
mmu-miR-551b-3p,76,41,46,51,84,113,95,98,200,114,195,215,51,62,65
mmu-miR-551b-5p,8,0,0,3,9,6,9,3,17,11,8,14,0,0,0
mmu-miR-5615-5p,0,4,6,0,3,4,2,3,6,0,7,2,0,2,0
mmu-miR-5616-3p,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-5619-3p,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
mmu-miR-5620-3p,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
mmu-miR-5620-5p,3,0,3,3,2,0,0,0,2,0,0,0,0,2,0
mmu-miR-5621-3p,0,2,0,4,0,4,2,6,4,3,2,8,2,5,3
mmu-miR-5622-5p,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
mmu-miR-5623-5p,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
mmu-miR-5624-3p,3,0,0,2,0,2,0,2,0,0,2,0,0,0,2
mmu-miR-5624-5p,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2
mmu-miR-5627-3p,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0
mmu-miR-5709-5p,6,4,4,5,11,8,3,10,9,11,13,4,0,7,2
mmu-miR-574-3p,1553,1349,1953,1609,914,1035,965,1162,1198,789,1367,1134,353,542,486
mmu-miR-574-5p,346,295,392,338,262,260,214,209,251,152,267,193,62,80,75
mmu-miR-582-3p,1731,1410,2099,1486,3246,3293,2948,3049,2685,1329,2364,2414,1582,2661,2300
mmu-miR-582-5p,369,225,260,373,665,755,863,841,601,278,557,298,305,452,533
